0xa8C3d04CB2Bfde26B8C75dE82B8d666f3F767011,12,6
0xccee333ef928f1eafd36a13b5314d5a3742684e2,2,6
0x2029d2126b7f9cd90a6b7e3e5546f4a2fba4e92f,2,6
0x8e4e5148c8074511e3e36f49824305ac63d0e560,8,6
0x1Dd5D6d6bDb6a87FF6E4E89da5ACEFb9003832FA,1,6
0xD7874d5D6AB91A9B4a7d46A2B10c0573b954197d,3,6
0x2c16f387d1dc3a4c88232899abdaa48d849ba8d3,1,3
0x201da80a564545c5933394b88078b7ed80f1339a,3,6
0x4De66f38B6Fb3786320B26BCb397137CB3e17ad2,1,3
0xfa8064f54c0cd9e90abe5fd868c94a4f3c415fcd,3,6
0x8bFd9902cA891E4bE311cfE3EFCC45fB681622a3,5,6
0x2edC072C187429d8938f9613Fe7c256a0eCA3e00,1,6
0x2B4cF9e5969D7dB58B685AB2b5e45d43Be97D945,1,3
0x6c284b7d0fd8419bb447a252d17535d963838f4b,4,6
0x2f30F269a0422787F3dF7A1A3B90b3d551f3668D,1,3
0xddadb1ba3695a4ccd1e4a6d2bd1e65cbd5bd795f,4,6
0x7AEa6cd0246baf7A36092687cea10ca2C92bd55A,2,6
0x0b552Cf641474825DDBaeDa0AfFF5FEB310E59Be,16,6
0x81C60397b421B7e5D847409Fc53cC1Ae961dE806,7,3
0xCB6E96548725F47ecbf98Ea8149D3BfAeefF31f9,7,6
0xb622224A87D44a6Ba307Ae0aA797259Eb46CF481,7,6
0x506d7e58554626016b0a939aa2d18e405eaa3ad0,4,6
0xCF3A0afcc2fB0b3eE8F0b4333b7B803DAf01F85E,3,6
0x01b6638c83ca89A0dB90a8bC9191A42aD3fEB69c,5,6
0x84d1c1Ff3A18b4fb80C2F0452B0F1832fd563c8f,1,6
0xa9D0eDB81D9B5EC75C2F010BF17DC8d77A3543Df,8,6
0x5342cBb838283B6729442A941E062EC7381F5c68,1,3
0x5bDaa5C7D91261fA7FB40FbFC90D4d66259dC132,7,6
0x295373A4FAEcddD88Bfa975B87e5582d1A87e8D2,16,6
0xC738cEc51be3BC4f34994934eF94b5D54D27F35C,3,6
0xfb20296c74fa81ffe62c55201079dc987d1a4ebb,1,6
0x2F2dE0134cd0041eA7c8161a4C97BD2d8d9681e4,1,3
0x29d168b0E6931f3DF8122f8bE1F9E5043b2A57D3,1,3
0x85b8F596cCa43BE8Ad941fFc09fef1216115E244,1,3
0x2E9BC4e1400A67313bA25f42f9F4C115CAEb6134,16,3
